t,free_mem,cpu
11:57:41,28101292,0
11:57:42,28101544,0
11:57:43,28101544,0
11:57:44,28101544,0
11:57:45,28101544,0
11:57:46,28101544,0
11:57:47,28101008,0
11:57:48,28102800,0
11:57:49,28103296,0
11:57:50,28103996,0
11:57:51,28104120,0
11:57:52,28104120,0
11:57:53,28103588,0
11:57:54,28103840,0
11:57:55,28103840,0
11:57:56,28103840,0
11:57:57,28103848,0
11:57:58,28104236,0
11:57:59,28117816,0
11:58:00,28117816,0
11:58:01,28117816,0
11:58:02,28117816,0
11:58:03,28117816,0
11:58:04,28118924,0
11:58:05,28118800,0
11:58:06,28120244,0
11:58:07,28120496,0
11:58:08,28121000,0
11:58:09,28120612,0
11:58:10,28120604,0
11:58:11,28120984,0
11:58:12,28120984,0
11:58:13,28120984,0
11:58:14,28120776,0
11:58:15,28121028,0
11:58:16,28121280,0
11:58:17,28121280,0
11:58:18,28122368,0
11:58:19,28122808,0
11:58:20,28122752,0
11:58:21,28121052,0
11:58:22,28120988,0
11:58:23,28120996,0
11:58:24,28121248,0
11:58:25,28121248,0
11:58:26,28121500,0
11:58:27,28121080,0
11:58:28,28121080,0
11:58:29,28121080,0
11:58:30,28121080,0
11:58:31,28121016,0
11:58:32,27796848,6
11:58:33,27360440,13
11:58:34,26962564,24
11:58:35,26767004,22
11:58:36,26565552,18
11:58:37,26478108,21
11:58:38,26343416,16
11:58:39,40400,5
11:58:40,25935808,14
11:58:41,40408,8
11:58:42,25670804,24
11:58:43,40408,4
11:58:44,40408,4
11:58:45,40408,4
11:58:46,40416,5
11:58:47,40416,4
11:58:48,40416,4
11:58:49,40416,4
11:58:50,40416,5
11:58:51,40424,3
11:58:52,40424,4
11:58:53,40424,4
11:58:54,40424,3
11:58:55,23341260,34
11:58:56,22925856,26
11:58:57,40432,2
11:58:58,22781608,21
11:58:59,22711840,12
11:59:00,22657844,9
11:59:01,22638920,4
11:59:02,22631276,2
11:59:03,22633284,1
11:59:04,22633792,1
11:59:05,22607592,3
11:59:06,22591932,6
11:59:07,22600424,5
11:59:08,22457416,9
11:59:09,22438248,10
11:59:10,22428512,8
11:59:11,22429420,3
11:59:12,22430564,1
11:59:13,22432944,1
11:59:14,22348372,5
11:59:15,22343600,1
11:59:16,22340420,2
11:59:17,22344524,2
11:59:18,22345544,1
11:59:19,22316412,5
11:59:20,22306828,3
11:59:21,22303616,2
11:59:22,22262752,11
11:59:23,22238672,9
11:59:24,22240136,3
11:59:25,22241688,3
11:59:26,22243096,4
11:59:27,22244408,5
11:59:28,22244284,8
11:59:29,22245552,11
11:59:30,22242328,13
11:59:31,22242516,13
11:59:32,22241972,12
11:59:33,22244104,10
11:59:34,22245728,10
11:59:35,22245772,12
11:59:36,22159544,16
11:59:37,22156188,9
11:59:38,22151324,10
11:59:39,22152700,8
11:59:40,22150264,8
11:59:41,22149384,7
11:59:42,22146024,5
11:59:43,22145988,7
11:59:44,22144524,7
11:59:45,22144168,7
11:59:46,22140384,5
11:59:47,22139832,3
11:59:48,22139928,4
11:59:49,22139280,5
11:59:50,22137916,6
11:59:51,22136696,5
11:59:52,22137364,4
11:59:53,22137952,5
11:59:54,22058220,8
11:59:55,40524,2
11:59:56,22049620,5
11:59:57,22048924,4
11:59:58,21965256,8
11:59:59,21961268,6
12:00:00,21953568,10
12:00:01,21953248,8
12:00:02,21872572,11
12:00:03,21867612,6
12:00:04,21860136,7
12:00:05,21861228,9
12:00:06,21860432,9
12:00:07,21860876,10
12:00:08,21860484,8
12:00:09,21860924,7
12:00:10,21859936,6
12:00:11,21860396,5
12:00:12,21859240,6
12:00:13,21858976,5
12:00:14,21858564,5
12:00:15,21860004,7
12:00:16,21858200,5
12:00:17,21858308,3
12:00:18,21858468,4
12:00:19,21858288,7
12:00:20,21856204,12
12:00:21,21856704,12
12:00:22,21855144,6
12:00:23,21856624,5
12:00:24,21857160,5
12:00:25,21857116,8
12:00:26,21854540,7
12:00:27,21855652,7
12:00:28,21855564,7
12:00:29,21856300,7
12:00:30,21852312,8
12:00:31,21851552,8
12:00:32,21851252,6
12:00:33,21851408,4
12:00:34,21850668,4
12:00:35,21850680,8
12:00:36,21849208,9
12:00:37,21848988,9
12:00:38,21848012,8
12:00:39,21848184,5
12:00:40,21847016,6
12:00:41,21846984,7
12:00:42,21846812,5
12:00:43,21846872,4
12:00:44,21848404,2
12:00:45,21851260,5
12:00:46,21853572,5
12:00:47,21858444,4
12:00:48,21863692,4
12:00:49,21868688,4
12:00:50,21787744,11
12:00:51,21784272,7
12:00:52,21783436,6
12:00:53,21783752,3
12:00:54,21783960,2
12:00:55,21784260,4
12:00:56,21700724,12
12:00:57,21696468,7
12:00:58,21694744,9
12:00:59,21695096,4
12:01:00,21695048,6
12:01:01,21695088,6
12:01:02,21695408,7
12:01:03,21696000,8
12:01:04,21695752,8
12:01:05,21696848,9
12:01:06,21693488,7
12:01:07,21693220,5
12:01:08,21693940,3
12:01:09,21693688,4
12:01:10,21692780,6
12:01:11,21692292,4
12:01:12,21606524,10
12:01:13,21601628,6
12:01:14,21513432,17
12:01:15,21508528,7
12:01:16,21418600,17
12:01:17,21416168,9
12:01:18,21411084,10
12:01:19,21411456,8
12:01:20,21409924,5
12:01:21,21409912,5
12:01:22,21407968,4
12:01:23,21408932,4
12:01:24,21323432,10
12:01:25,21320080,8
12:01:26,21315304,10
12:01:27,21315180,6
12:01:28,21313620,7
12:01:29,21313412,8
12:01:30,21312060,8
12:01:31,21312604,7
12:01:32,21311392,3
12:01:33,21311452,3
12:01:34,21230260,8
12:01:35,21226652,7
12:01:36,21221020,8
12:01:37,21220680,3
12:01:38,21222128,3
12:01:39,21221848,5
12:01:40,21220860,5
12:01:41,21220100,4
12:01:42,21220796,2
12:01:43,21221112,2
12:01:44,21221548,3
12:01:45,21222144,3
12:01:46,21218576,4
12:01:47,21218144,3
12:01:48,21214932,3
12:01:49,21216564,3
12:01:50,21217056,4
12:01:51,21217696,6
12:01:52,21217604,4
12:01:53,21219820,3
12:01:54,21219964,4
12:01:55,21219752,6
12:01:56,21217176,6
12:01:57,21217916,4
12:01:58,21218240,3
12:01:59,21218132,5
12:02:00,21220092,7
12:02:01,21220268,10
12:02:02,21217600,9
12:02:03,21218720,9
12:02:04,21217864,8
12:02:05,21218492,7
12:02:06,21215500,6
12:02:07,21215500,5
12:02:08,21215708,4
12:02:09,21216348,4
12:02:10,21214444,6
12:02:11,21214476,7
12:02:12,21213136,4
12:02:13,21214028,4
12:02:14,21214588,6
12:02:15,21213228,11
12:02:16,21213756,13
12:02:17,21214204,9
12:02:18,21130828,11
12:02:19,21127552,6
12:02:20,21120588,8
12:02:21,21120344,6
12:02:22,21119852,5
12:02:23,21120236,5
12:02:24,21119524,6
12:02:25,21119012,6
12:02:26,21116840,9
